azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
0;50;-0,28393300;-0,27640592;-0,00752708;0,56891000;0,57137100;-0,00246102;0,06284454;0,02634062;0,03650392;0,00494780;-0,01592168;0,02086948
22,5;50;-0,28554198;-0,27747002;-0,00807196;0,56660504;0,57172700;-0,00512195;0,05935781;0,03294936;0,02640844;0,01124932;-0,02241304;0,03366236
45;50;-0,28434002;-0,27757302;-0,00676700;0,56659300;0,57184508;-0,00525206;0,05182305;0,04015918;0,01166387;0,01489907;-0,02621421;0,04111328
67,5;50;-0,28412402;-0,27696600;-0,00715801;0,56604092;0,57244390;-0,00640297;0,04382632;0,04819527;-0,00436895;0,01554195;-0,02675142;0,04229336
90;50;-0,28310004;-0,27997798;-0,00312206;0,56450200;0,57416992;-0,00966793;0,03549336;0,05523623;-0,01974287;0,01295498;-0,02419600;0,03715098
112,5;50;-0,28213196;-0,28050700;-0,00162497;0,56429800;0,57376504;-0,00946707;0,02988555;0,06202133;-0,03213578;0,00751655;-0,01866841;0,02618496
135;50;-0,28020298;-0,28347004;0,00326705;0,56593610;0,57070608;-0,00476998;0,02643174;0,06498410;-0,03855236;0,00005200;-0,01134253;0,01139453
157,5;50;-0,27978700;-0,28443204;0,00464505;0,56587108;0,57172996;-0,00585890;0,02536826;0,06536640;-0,03999814;-0,00822695;-0,00293242;-0,00529453
180;50;-0,28043896;-0,28551404;0,00507507;0,56626404;0,57007292;-0,00380892;0,02860689;0,06287189;-0,03426500;-0,01583052;0,00496001;-0,02079053
202,5;50;-0,27860104;-0,28706600;0,00846496;0,56829508;0,56804500;0,00025004;0,03353462;0,05741821;-0,02388359;-0,02220762;0,01117339;-0,03338101
225;50;-0,27844000;-0,28494102;0,00650102;0,56913290;0,56551104;0,00362188;0,04069033;0,04948012;-0,00878979;-0,02593144;0,01493310;-0,04086455
247,5;50;-0,27876504;-0,28541600;0,00665095;0,57164010;0,56325000;0,00839007;0,04862276;0,04100869;0,00761407;-0,02662339;0,01550615;-0,04212955
270;50;-0,28065304;-0,28432300;0,00366998;0,57198500;0,56260604;0,00937897;0,05684478;0,03255743;0,02428735;-0,02404678;0,01292051;-0,03696728
292,5;50;-0,28117102;-0,28241904;0,00124800;0,57048800;0,56248904;0,00799894;0,06273842;0,02769531;0,03504312;-0,01860459;0,00742383;-0,02602842
315;50;-0,28250500;-0,27970304;-0,00280195;0,57103390;0,56446810;0,00656581;0,06582845;0,02376397;0,04206448;-0,01127227;0,00016694;-0,01143921
337,5;50;-0,28255302;-0,27800202;-0,00455099;0,57187500;0,56853000;0,00334495;0,06632530;0,02399082;0,04233448;-0,00291909;-0,00819902;0,00527993
