azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
0;25;-0,23074;-0,22530596;-0,00543405;0,39696208;0,39702208;-0,00005999;0,03844004;0,04894287;-0,01050283;0,02694951;-0,04093124;0,06788076
22,5;25;-0,23404194;-0,22650598;-0,00753596;0,39879008;0,397578;0,00121206;0,02552988;0,06155;-0,03602012;0,02206709;-0,03606836;0,05813545
45;25;-0,23334392;-0,22829;-0,00505394;0,39854608;0,399336;-0,00078991;0,01605508;0,071171;-0,05511592;0,01292051;-0,02678106;0,03970156
67,5;25;-0,23200196;-0,22716994;-0,00483201;0,398538;0,400186;-0,00164798;0,01027383;0,07649735;-0,06622352;0,00064434;-0,01445488;0,01509922
90;25;-0,23298796;-0,22921194;-0,00377603;0,39511;0,40277404;-0,00766402;0,01059424;0,07710323;-0,06650899;-0,01291328;-0,00104512;-0,01186816
112,5;25;-0,23141396;-0,23087994;-0,00053403;0,39425;0,40202004;-0,00777003;0,0147415;0,07181211;-0,0570706;-0,02547598;0,01144775;-0,03692373
135;25;-0,22906796;-0,23075598;0,00168803;0,39381808;0,402586;-0,0087679;0,02410879;0,0625418;-0,03843302;-0,03518594;0,0211501;-0,05633604
157,5;25;-0,22881598;-0,23156594;0,00274996;0,393952;0,400054;-0,006102;0,03625694;0,05031465;-0,01405772;-0,04056924;0,02655869;-0,06712793
180;25;-0,22757396;-0,23628796;0,00871399;0,39860208;0,40003004;-0,00142798;0,04961768;0,03683584;0,01278184;-0,04093467;0,02692207;-0,06785674
202,5;25;-0,22695802;-0,23423196;0,00727394;0,3991541;0,39795196;0,00120214;0,06211348;0,02426006;0,03785342;-0,03606289;0,02210478;-0,05816768
225;25;-0,228478;-0,23359798;0,00511998;0,39983208;0,394866;0,00496605;0,07149433;0,0148959;0,05659844;-0,02678975;0,01286885;-0,0396586
247,5;25;-0,22800196;-0,23256796;0,00456601;0,40050604;0,394462;0,00604403;0,07711376;0,00950381;0,06760995;-0,01433838;0,00061943;-0,01495781
270;25;-0,22936996;-0,23119598;0,00182602;0,40037604;0,39618604;0,00419;0,07755313;0,008921;0,06863213;-0,00100908;-0,01292461;0,01191553
292,5;25;-0,230156;-0,22984796;-0,00030802;0,399284;0,395716;0,00356799;0,07259102;0,01393203;0,05865899;0,0115417;-0,02536445;0,03690615
315;25;-0,23248196;-0,22985396;-0,002628;0,40209608;0,394518;0,00757808;0,06382988;0,02333926;0,04049062;0,02113096;-0,03510791;0,05623886
337,5;25;-0,23118196;-0,22563396;-0,00554799;0,39998208;0,39796408;0,002018;0,05151875;0,03573711;0,01578164;0,02658428;-0,04064649;0,06723076
