smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;axA;ayA;xC;yC;axC;ayC
CW;1;22.5;22.50;22.50;50;-0.23534998;0.52254980;0.035583;-0.034814;-0.23229998;0.52185000;0.058496;0.022937
CW;2;90;90.00;67.50;50;-0.24019996;0.51185000;0.016606;-0.006602;-0.23394992;0.50794990;0.079507;-0.004878
CW;3;315;-45.00;-135.00;50;-0.24384994;0.51094990;0.068162;-0.027559;-0.24024998;0.52204996;0.025994;0.016353
CW;4;247.5;-112.50;-67.50;50;-0.23974990;0.52299980;0.075498;0.006333;-0.24019990;0.51089984;0.018928;-0.018486
CW;5;135;-225.00;-112.50;50;-0.23414996;0.50275000;0.021877;0.015779;-0.23854998;0.50679980;0.069797;-0.027729
CW;6;202.5;-157.50;67.50;50;-0.23264992;0.51529984;0.058586;0.023066;-0.24665000;0.50729990;0.035730;-0.034753
CW;7;292.5;-67.50;90.00;50;-0.24069990;0.52585008;0.075737;-0.016694;-0.24125000;0.51995000;0.018513;0.005754
CW;8;180;-180.00;-112.50;50;-0.22519996;0.51019968;0.047527;0.025022;-0.22630002;0.50979970;0.047773;-0.036248
CW;9;157.5;-202.50;-22.50;50;-0.22804996;0.51124970;0.034141;0.022288;-0.23929984;0.51329976;0.059656;-0.033762
CW;10;225;-135.00;67.50;50;-0.22524996;0.49445000;0.068499;0.016584;-0.23754996;0.52309990;0.025610;-0.027729
CW;11;0;0.00;135.00;50;-0.24094992;0.50899970;0.046370;-0.037205;-0.23574994;0.51009992;0.050754;0.024771
CW;12;337.5;-22.50;-22.50;50;-0.24580002;0.51210000;0.059744;-0.033950;-0.23394992;0.51774996;0.036675;0.022012
CW;13;270;-90.00;-67.50;50;-0.23149992;0.50170000;0.077549;-0.005234;-0.25074998;0.51474976;0.016128;-0.005476
CW;14;45;45.00;135.00;50;-0.23664990;0.50009996;0.026577;-0.027664;-0.23549994;0.50909990;0.068970;0.016777
CW;15;67.5;67.50;22.50;50;-0.24174990;0.50214992;0.018672;-0.018215;-0.24229994;0.51424980;0.075769;0.007017
CW;16;112.5;112.50;45.00;50;-0.23684998;0.51949990;0.018311;0.005620;-0.23279990;0.51289980;0.076267;-0.017061
CW;17;337.5;-22.50;-135.00;50;-0.23144994;0.50135004;0.059028;-0.033872;-0.23119996;0.50074992;0.035215;0.022642
CW;18;225;-135.00;-112.50;50;-0.23169990;0.49775012;0.066768;0.015491;-0.24044996;0.51109976;0.027517;-0.028279
CW;19;45;-315.00;-180.00;50;-0.23989996;0.50710010;0.027693;-0.028220;-0.23509990;0.50934980;0.068657;0.016023
CW;20;135;-225.00;90.00;50;-0.24039992;0.51104976;0.024121;0.015645;-0.24444998;0.50244990;0.069458;-0.027107
CW;21;67.5;-292.50;-67.50;50;-0.24079990;0.51109992;0.018862;-0.017869;-0.22829996;0.50275000;0.074802;0.006646
CW;22;202.5;-157.50;135.00;50;-0.22974998;0.49985004;0.058762;0.022983;-0.24154992;0.51219990;0.035732;-0.034062
CW;23;315;-45.00;112.50;50;-0.22870000;0.51129984;0.069304;-0.027100;-0.22914994;0.49670004;0.025337;0.015901
CW;24;157.5;-202.50;-157.50;50;-0.23384996;0.50534992;0.033975;0.022244;-0.24524996;0.50374980;0.060168;-0.033645
CW;25;90;-270.00;-67.50;50;-0.23539992;0.49795010;0.015425;-0.006758;-0.22470002;0.50704984;0.080671;-0.004792
CW;26;112.5;-247.50;22.50;50;-0.23814996;0.50134990;0.017185;0.005054;-0.23240000;0.49670016;0.076086;-0.017180
CW;27;180;-180.00;67.50;50;-0.23179992;0.50694980;0.048059;0.024834;-0.23419996;0.50825000;0.047639;-0.036064
CW;28;0;-360.00;-180.00;50;-0.24089996;0.50614970;0.046638;-0.036360;-0.23249994;0.51894984;0.046780;0.025063
CW;29;270;-90.00;-90.00;50;-0.23229992;0.48285004;0.078574;-0.005518;-0.25250006;0.52325004;0.015999;-0.006057
CW;30;22.5;22.50;112.50;50;-0.23939996;0.49889990;0.036218;-0.034348;-0.23425000;0.51309990;0.058081;0.022808
CW;31;247.5;-112.50;-135.00;50;-0.23909986;0.48989992;0.075481;0.006814;-0.23844996;0.50405000;0.019333;-0.017676
CW;32;292.5;-67.50;45.00;50;-0.24425000;0.51444970;0.075693;-0.016899;-0.23839992;0.51889984;0.018904;0.005732
CW;33;270;-90.00;-22.50;50;-0.22455002;0.49935000;0.079348;-0.004661;-0.23894990;0.51869990;0.014878;-0.005417
CW;34;0;0.00;90.00;50;-0.23879992;0.50229990;0.047769;-0.036592;-0.23429994;0.51364980;0.047090;0.025322
CW;35;112.5;112.50;112.50;50;-0.24620004;0.51809984;0.018914;0.006101;-0.23499992;0.50329996;0.076299;-0.017231
CW;36;157.5;157.50;45.00;50;-0.24084990;0.50314990;0.035210;0.023054;-0.24694990;0.50749990;0.060017;-0.033606
CW;37;90;90.00;-67.50;50;-0.23379996;0.51629990;0.018796;-0.006548;-0.24169998;0.50025004;0.080552;-0.004844
CW;38;67.5;67.50;-22.50;50;-0.23889992;0.51709980;0.018821;-0.018013;-0.23619988;0.49795004;0.075432;0.007188
CW;39;225;225.00;157.50;50;-0.24605004;0.50825008;0.068069;0.016860;-0.22699990;0.50749992;0.024248;-0.027505
CW;40;202.5;202.50;-22.50;50;-0.22224996;0.50749990;0.058916;0.023130;-0.23664994;0.50834980;0.036953;-0.034478
CW;41;22.5;22.50;-180.00;50;-0.24089996;0.50879990;0.035876;-0.034424;-0.22789990;0.50704990;0.058501;0.023225
CW;42;180;180.00;157.50;50;-0.22560002;0.51639984;0.047781;0.025667;-0.23415000;0.51484980;0.049280;-0.036846
CW;43;247.5;247.50;67.50;50;-0.23849992;0.50999976;0.075549;0.006499;-0.24715004;0.51024976;0.019119;-0.017744
CW;44;45;45.00;45.00;50;-0.23999996;0.50999990;0.025142;-0.028120;-0.22234996;0.49594990;0.069297;0.016555
CW;45;292.5;-67.50;-112.50;50;-0.23699994;0.50739980;0.075388;-0.017009;-0.24524996;0.50484976;0.018049;0.005977
CW;46;315;-45.00;22.50;50;-0.23769992;0.51149990;0.070056;-0.026255;-0.23215002;0.49999990;0.026873;0.015786
CW;47;337.5;-22.50;22.50;50;-0.24144996;0.50789990;0.059980;-0.033716;-0.23734992;0.51549968;0.035889;0.022458
CW;48;135;135.00;157.50;50;-0.24074990;0.51624990;0.028330;0.015881;-0.23559998;0.50545000;0.071680;-0.026277
CW;49;157.5;157.50;22.50;50;-0.23054992;0.51409984;0.035117;0.022717;-0.23974990;0.50614980;0.059563;-0.033704
CW;50;315;315.00;157.50;50;-0.23759992;0.51009980;0.069416;-0.027195;-0.22655004;0.51529990;0.026255;0.015979
CW;51;292.5;292.50;-22.50;50;-0.23594996;0.50375000;0.075842;-0.016785;-0.24004982;0.50919990;0.019009;0.005959
CW;52;90;90.00;90.00;50;-0.23659990;0.50730000;0.017729;-0.006580;-0.23684994;0.50204980;0.078684;-0.005276
CW;53;202.5;202.50;112.50;50;-0.23004996;0.50954980;0.058254;0.023186;-0.23279992;0.51134990;0.036135;-0.033838
CW;54;45;45.00;-157.50;50;-0.23010002;0.51309972;0.026428;-0.028293;-0.23574992;0.51704996;0.069702;0.016636
CW;55;112.5;112.50;67.50;50;-0.23554996;0.50969992;0.018291;0.005559;-0.23454996;0.50789992;0.075684;-0.016750
CW;56;270;270.00;157.50;50;-0.23874992;0.49589990;0.077417;-0.005159;-0.23894990;0.49884984;0.017073;-0.005632
CW;57;135;135.00;-135.00;50;-0.22865000;0.51509980;0.024304;0.015891;-0.22459992;0.49795004;0.071851;-0.027815
CW;58;67.5;67.50;-67.50;50;-0.23654994;0.50514980;0.018040;-0.018357;-0.23484994;0.51399976;0.075117;0.006611
CW;59;0;0.00;-67.50;50;-0.23424994;0.52529996;0.046123;-0.035808;-0.23594990;0.52024996;0.052542;0.024680
CW;60;225;-135.00;-135.00;50;-0.23275000;0.51934980;0.073347;0.016929;-0.24179996;0.51559990;0.022949;-0.028062
CW;61;180;-180.00;-45.00;50;-0.22535000;0.52179970;0.046965;0.025076;-0.23894998;0.51699984;0.046309;-0.036152
