smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;tA;axA;ayA;xC;yC;tC;axC;ayC
CW;1;180;-180.00;-180.00;50;-0.36765020;0.59585000;25.81;0.046091;0.026514;-0.35120000;0.57685000;25.84;0.051060;-0.039053
CW;1;90;90.00;90.00;50;-0.26225008;0.49120008;26.23;0.017820;-0.006377;-0.27105008;0.47729996;26.24;0.079673;-0.005681
CW;2;337.5;-22.50;-112.50;50;-0.24919996;0.46734990;26.29;0.060444;-0.034412;-0.25650008;0.47689996;26.30;0.037349;0.021848
CW;3;202.5;-157.50;-135.00;50;-0.24675000;0.47474996;26.30;0.061035;0.022278;-0.25535000;0.47934980;26.29;0.037690;-0.034873
CW;4;112.5;-247.50;-90.00;50;-0.26355004;0.47954996;26.30;0.020388;0.005181;-0.26460000;0.47749992;26.30;0.076758;-0.017915
CW;5;22.5;-337.50;-90.00;50;-0.26280008;0.48384996;26.33;0.037202;-0.034880;-0.25705008;0.48329990;26.30;0.060059;0.022273
CW;6;135;-225.00;112.50;50;-0.25245000;0.48895000;26.30;0.026025;0.015422;-0.26470004;0.48180000;26.30;0.070298;-0.027756
CW;7;247.5;-112.50;112.50;50;-0.25625014;0.47949990;26.30;0.076526;0.005583;-0.26515010;0.48089996;26.34;0.020806;-0.018433
CW;8;292.5;-67.50;45.00;50;-0.25140004;0.47560012;26.31;0.077078;-0.017295;-0.25895008;0.48650004;26.34;0.020786;0.005339
CW;9;225;-135.00;-67.50;50;-0.24900006;0.47324984;26.30;0.067864;0.015447;-0.25680000;0.48310004;26.30;0.027305;-0.028318
CW;10;180;-180.00;-45.00;50;-0.25325012;0.49195020;26.35;0.048503;0.024792;-0.24924992;0.48384988;26.32;0.048657;-0.037117
CW;11;0;-360.00;-180.00;50;-0.25659996;0.47985000;26.31;0.048164;-0.037205;-0.25560012;0.48340004;26.38;0.047793;0.024500
CW;12;45;-315.00;45.00;50;-0.24975004;0.49405004;26.34;0.026941;-0.028508;-0.25270004;0.49114992;26.36;0.069106;0.015605
CW;13;67.5;-292.50;22.50;50;-0.24864992;0.48245000;26.38;0.019321;-0.018694;-0.26194992;0.48044992;26.36;0.077327;0.005879
CW;14;270;-90.00;-90.00;50;-0.24934994;0.48720016;26.45;0.078447;-0.006423;-0.25195004;0.49089992;26.47;0.017917;-0.006694
CW;15;157.5;-202.50;-112.50;50;-0.24435004;0.48245008;26.41;0.035266;0.021309;-0.26000002;0.49199992;26.47;0.060347;-0.034976
