smer;azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer;;tA_prumer;tC_prumer;difft_prumer
CCW;0;15;-0,30164;-0,29899666;-0,00264335;0,54417664;0,5479833;-0,00380665;0,07978679;0,01753841;0,06224838;-0,00499316;-0,0036652;-0,00132796;;25,07;25,07;0
CCW;22,5;15;-0,29952666;-0,29587668;-0,00364998;0,5448134;0,5494801;-0,00466669;0,07787533;0,01925505;0,05862028;0,00708122;-0,01586735;0,02294857;;25,09;25,09;0
CCW;45;15;-0,29831664;-0,29854668;0,00023004;0,54225344;0,54316336;-0,00090992;0,07040039;0,02581087;0,04458952;0,01722461;-0,02582584;0,04305045;;25,15;25,16;-0,01
CCW;67,5;15;-0,2985867;-0,2988067;0,00022;0,54382676;0,54620004;-0,00237328;0,06074251;0,03558821;0,0251543;0,02423812;-0,03279508;0,0570332;;25,1;25,08;0,02
CCW;90;15;-0,29823002;-0,30013664;0,0019066;0,5437634;0,54453344;-0,00077003;0,04905989;0,04781266;0,00124723;0,02656413;-0,03543376;0,06199789;;25,14;25,14;0
CCW;112,5;15;-0,29860336;-0,30171;0,00310665;0,54682004;0,5456168;0,00120324;0,03707276;0,05969515;-0,02262239;0,02447168;-0,03338476;0,05785644;;25,11;25,1;0,02
CCW;135;15;-0,29746336;-0,29799998;0,00053662;0,5453201;0,54392344;0,00139666;0,02678304;0,06986068;-0,04307764;0,01792529;-0,02673372;0,04465902;;25,11;25,11;-0,01
CCW;157,5;15;-0,29882666;-0,29866336;-0,00016332;0,5437967;0,5418434;0,0019533;0,01896484;0,07675814;-0,0577933;0,00793945;-0,01661979;0,02455924;;25,11;25,1;0,01
CCW;180;15;-0,29685006;-0,29943;0,00257996;0,5487401;0,5410667;0,00767338;0,0170402;0,07941211;-0,06237191;-0,00419092;-0,00500879;0,00081787;;25,14;25,11;0,02
CCW;202,5;15;-0,29576668;-0,29818338;0,0024167;0,5453333;0,54201008;0,00332326;0,01913363;0,07691618;-0,05778255;-0,01588623;0,00690902;-0,02279524;;25,14;25,15;-0,01
CCW;225;15;-0,3006467;-0,2962833;-0,00436339;0,55168;0,54465676;0,00702328;0,02614062;0,07043246;-0,04429183;-0,02610368;0,0171932;-0,04329687;;25,07;25,08;0
CCW;247,5;15;-0,30378332;-0,29880998;-0,00497335;0,5473668;0,54218332;0,00518346;0,03566;0,05975375;-0,02409376;-0,03309652;0,02388053;-0,05697705;;25,1;25,1;-0,01
CCW;270;15;-0,30203336;-0,29852334;-0,00351003;0,5484567;0,5452201;0,00323665;0,04804524;0,04813151;-0,00008627;-0,03565088;0,02662484;-0,06227572;;25,1;25,09;0,01
CCW;292,5;15;-0,30144998;-0,29861668;-0,00283331;0,5479701;0,54460676;0,00336337;0,06021744;0,03594401;0,02427343;-0,03347103;0,02437988;-0,05785091;;25,06;25,06;0,01
CCW;315;15;-0,29998338;-0,29752338;-0,00246;0,5428434;0,54260004;0,00024337;0,06971826;0,02643782;0,04328044;-0,02692269;0,01781429;-0,04473698;;25,14;25,14;0
CCW;337,5;15;-0,30187996;-0,29497668;-0,00690329;0,5411634;0,5441034;-0,00294;0,07684506;0,01928792;0,05755714;-0,0167972;0,00782292;-0,02462012;;25,14;25,13;0,01
CW;0;15;-0,25458;-0,24721662;-0,00736336;0,46114664;0,45963332;0,00151333;0,047257;0,04736507;-0,00010807;-0,03700082;0,02478369;-0,06178451;;26,78;26,78;0
CW;22,5;15;-0,25879002;-0,25008;-0,00871003;0,46533328;0,4636167;0,00171658;0,03581283;0,05977311;-0,02396028;-0,03482666;0,02269108;-0,05751774;;26,72;26,72;-0,01
CW;45;15;-0,2510366;-0,24988328;-0,00115334;0,46282;0,46343664;-0,00061661;0,02537712;0,06885449;-0,04347737;-0,02833626;0,01588509;-0,04422135;;26,76;26,76;0
CW;67,5;15;-0,2515633;-0,25280994;0,00124663;0,46782332;0,4615267;0,00629663;0,01865544;0,07580614;-0,05715071;-0,01832145;0,00600081;-0,02432227;;26,73;26,73;0,01
CW;90;15;-0,2502433;-0,25369;0,0034467;0,46719332;0,46244332;0,00475001;0,0157959;0,0780612;-0,0622653;-0,0065625;-0,00579964;-0,00076286;;26,72;26,73;-0,01
CW;112,5;15;-0,24968666;-0,2519333;0,00224665;0,46617336;0,46069664;0,00547671;0,01855664;0,07603402;-0,05747738;0,00540137;-0,01776025;0,02316162;;26,74;26,76;-0,01
CW;135;15;-0,2501733;-0,25302332;0,00285003;0,46696332;0,4628867;0,00407663;0,02469499;0,06937419;-0,0446792;0,01556982;-0,02761735;0,04318717;;26,71;26,72;-0,01
CW;157,5;15;-0,2485633;-0,25815332;0,00959001;0,4648333;0,46302;0,00181329;0,03471435;0,05947591;-0,02476156;0,02230387;-0,03461654;0,05692041;;26,76;26,75;0,01
CW;180;15;-0,24996664;-0,25522668;0,00526004;0,46256344;0,4648466;-0,00228319;0,0464152;0,04758675;-0,00117155;0,0246971;-0,03696078;0,06165788;;26,77;26,77;0
CW;202,5;15;-0,24485994;-0,25577004;0,01091009;0,46135;0,46404324;-0,00269327;0,05944271;0,03623145;0,02321126;0,02247803;-0,03475895;0,05723698;;26,76;26,76;0
CW;225;15;-0,2466333;-0,25226334;0,00563005;0,45902332;0,4676933;-0,00866997;0,06888834;0,02621338;0,04267497;0,01579118;-0,02807487;0,04386605;;26,78;26,77;0,01
CW;247,5;15;-0,25030332;-0,25363996;0,00333664;0,45961996;0,4654066;-0,00578663;0,07554346;0,01944548;0,05609798;0,0059655;-0,01809391;0,02405941;;26,76;26,76;-0,01
CW;270;15;-0,2548433;-0,24898664;-0,00585665;0,46105332;0,4681733;-0,00711995;0,07754736;0,01676286;0,0607845;-0,00576237;-0,00633545;0,00057308;;26,76;26,77;-0,01
CW;292,5;15;-0,2509833;-0,2476633;-0,00331999;0,46004004;0,46825;-0,00820994;0,0757072;0,0197264;0,0559808;-0,01767757;0,00568115;-0,02335872;;26,78;26,78;0
CW;315;15;-0,25392996;-0,24819328;-0,00573669;0,46225004;0,4659167;-0,00366664;0,06902067;0,02590039;0,04312028;-0,02789144;0,01561686;-0,0435083;;26,78;26,79;-0,01
CW;337,5;15;-0,25327998;-0,24605664;-0,00722334;0,46011324;0,4632966;-0,00318336;0,05944287;0,03570101;0,02374186;-0,03461117;0,02242855;-0,05703972;;26,76;26,77;-0,01
