smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;tA;axA;ayA;xC;yC;tC;axC;ayC
CCW;1;247.5;-112.50;-112.50;50;-0.46715000;0.73914990;23.03;0.081399;0.008308;-0.44964984;0.72430016;23.10;0.020701;-0.015945
CW;2;247.5;-112.50;0.00;50;-0.43990004;0.70044990;23.16;0.079312;0.008743;-0.44390008;0.71075010;23.21;0.022839;-0.015920
CW;3;292.5;-67.50;45.00;50;-0.41159996;0.65725000;23.23;0.081665;-0.015891;-0.40435000;0.66805016;23.30;0.021685;0.009380
CCW;4;202.5;-157.50;-90.00;50;-0.39014990;0.64344996;23.25;0.063308;0.025703;-0.38240012;0.64595010;23.30;0.037920;-0.033369
CCW;5;112.5;-247.50;-90.00;50;-0.37654996;0.64120000;23.38;0.021333;0.008330;-0.35779996;0.63184990;23.35;0.081184;-0.016602
CCW;6;67.5;-292.50;-45.00;50;-0.36720016;0.62154980;23.46;0.021282;-0.016628;-0.37399990;0.60975000;23.49;0.083411;0.008330
CW;7;180;-180.00;112.50;50;-0.36315000;0.61805004;23.50;0.053530;0.028652;-0.36480004;0.61880000;23.50;0.052993;-0.036699
CCW;8;45;-315.00;-135.00;50;-0.35540008;0.60819990;23.50;0.027810;-0.026726;-0.34385000;0.61465010;23.50;0.076477;0.018789
CCW;9;315;-45.00;-45.00;50;-0.35304984;0.60105000;23.53;0.074475;-0.026831;-0.35034996;0.62299990;23.50;0.031138;0.019673
CW;10;337.5;-22.50;22.50;50;-0.35199984;0.60380010;23.50;0.064331;-0.034412;-0.34979996;0.61514984;23.55;0.041890;0.026667
CW;11;22.5;22.50;45.00;50;-0.34354990;0.60839990;23.61;0.039058;-0.034407;-0.33829990;0.60455000;23.63;0.066182;0.025845
CCW;12;202.5;-157.50;-180.00;50;-0.33549994;0.59890016;23.65;0.064473;0.025886;-0.33570004;0.61340000;23.66;0.038833;-0.034541
CCW;13;135;-225.00;-67.50;50;-0.33559990;0.60715000;23.72;0.027163;0.018845;-0.35054996;0.61130010;23.64;0.075239;-0.027517
CCW;14;337.5;-382.50;-157.50;50;-0.33995000;0.61119976;23.69;0.061711;-0.034365;-0.32625004;0.60050004;23.65;0.036101;0.025449
