smer;azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
CCW;0;14;-0,35198220;-0,34623930;-0,00574288;0,63062140;0,63132150;-0,00070012;23,67;23,68;-0,00;0,05416051;0,04661133;0,00754918;-0,03696272;0,02894828;-0,06591100
CCW;22,5;23;-0,34862828;-0,34257608;-0,00605223;0,61766300;0,61594344;0,00171959;23,85;23,86;-0,01;0,04120934;0,05923393;-0,01802459;-0,03615139;0,02779297;-0,06394436
CCW;45;7;-0,34687852;-0,34162140;-0,00525713;0,61750704;0,61707850;0,00042856;23,83;23,83;0,00;0,02981201;0,07048444;-0,04067243;-0,03034668;0,02203369;-0,05238037
CCW;67,5;13;-0,35008460;-0,34887690;-0,00120771;0,62616540;0,61924230;0,00692308;23,70;23,71;-0,01;0,02146709;0,07883732;-0,05737023;-0,02048716;0,01247859;-0,03296575
CCW;90;13;-0,33920384;-0,33721150;-0,00199234;0,60936920;0,59633070;0,01303852;24,12;24,11;0,01;0,01696176;0,08309965;-0,06613788;-0,00870098;-0,00030611;-0,00839487
CCW;112,5;15;-0,34447336;-0,34496004;0,00048667;0,61437668;0,60956324;0,00481343;23,96;23,97;-0,00;0,01806348;0,08180680;-0,06374332;0,00444759;-0,01278337;0,01723096
CCW;135;12;-0,35220416;-0,35767090;0,00546673;0,63459570;0,62979160;0,00480407;23,63;23,62;0,01;0,02436503;0,07700827;-0,05264324;0,01634949;-0,02426636;0,04061584
CCW;157,5;11;-0,34700908;-0,35517730;0,00816825;0,62863180;0,63029532;-0,00166357;23,64;23,63;0,01;0,03353405;0,06693670;-0,03340266;0,02476163;-0,03277810;0,05753973
CCW;180;10;-0,34359496;-0,35348504;0,00989008;0,61596490;0,62251000;-0,00654513;23,82;23,81;0,01;0,04597021;0,05463696;-0,00866675;0,02875952;-0,03712549;0,06588501
CCW;202,5;14;-0,34421064;-0,35053930;0,00632864;0,61692492;0,61830350;-0,00137854;23,87;23,87;-0,00;0,05860212;0,04175991;0,01684222;0,02773577;-0,03601929;0,06375506
CCW;225;18;-0,34359720;-0,35026668;0,00666946;0,61178610;0,61971670;-0,00793058;23,88;23,88;0,01;0,07037815;0,03027982;0,04009833;0,02200141;-0,03027629;0,05227770
CCW;247,5;15;-0,34606332;-0,35144670;0,00538337;0,61746330;0,62372330;-0,00626004;23,81;23,81;0,00;0,07897332;0,02196631;0,05700701;0,01219206;-0,02039160;0,03258366
CCW;270;12;-0,34322504;-0,34492920;0,00170416;0,61064160;0,61595830;-0,00531667;23,95;23,93;0,02;0,08244263;0,01781657;0,06462605;-0,00009318;-0,00815938;0,00806620
CCW;292,5;12;-0,35295836;-0,34907500;-0,00388336;0,62794160;0,63491250;-0,00697088;23,65;23,65;-0,00;0,08216512;0,01893941;0,06322570;-0,01278646;0,00511637;-0,01790283
CCW;315;17;-0,35392944;-0,34927348;-0,00465596;0,62407636;0,63118524;-0,00710887;23,67;23,68;-0,01;0,07642881;0,02499296;0,05143585;-0,02439396;0,01659410;-0,04098805
CCW;337,5;16;-0,35330624;-0,35165312;-0,00165310;0,62960310;0,63189996;-0,00229686;23,62;23,61;0,01;0,06630402;0,03460693;0,03169709;-0,03257447;0,02490997;-0,05748444
CW;0;18;-0,35379444;-0,34684164;-0,00695279;0,62485000;0,62329160;0,00155836;23,76;23,77;-0,00;0,05469224;0,04826036;0,00643188;-0,03693197;0,02883138;-0,06576336
CW;22,5;16;-0,35321872;-0,34892500;-0,00429374;0,63301870;0,63021870;0,00279999;23,68;23,68;0,01;0,04141892;0,06048492;-0,01906601;-0,03590378;0,02785797;-0,06376175
CW;45;17;-0,35573530;-0,35038830;-0,00534701;0,62792060;0,62532340;0,00259721;23,69;23,70;-0,00;0,02987979;0,07103660;-0,04115681;-0,03027329;0,02219281;-0,05246611
CW;67,5;20;-0,35650008;-0,35240000;-0,00410005;0,63252490;0,62342000;0,00910491;23,64;23,64;0,00;0,02186768;0,07964160;-0,05777392;-0,02044201;0,01239173;-0,03283374
CW;90;16;-0,35384692;-0,35281252;-0,00103441;0,63147180;0,62355936;0,00791246;23,61;23,62;-0,01;0,01709732;0,08382903;-0,06673170;-0,00825745;0,00035248;-0,00860992
CW;112,5;17;-0,35242356;-0,35251476;0,00009120;0,63439996;0,62426470;0,01013523;23,64;23,63;0,01;0,01893655;0,08277100;-0,06383444;0,00488841;-0,01275419;0,01764261
CW;135;13;-0,34712692;-0,35375000;0,00662309;0,62367300;0,62056536;0,00310767;23,79;23,81;-0,01;0,02449050;0,07665866;-0,05216816;0,01632775;-0,02440674;0,04073449
CW;157,5;15;-0,34097668;-0,34746660;0,00648996;0,61949664;0,61557000;0,00392663;23,96;23,96;0,00;0,03436703;0,06709196;-0,03272493;0,02450456;-0,03284473;0,05734928
CW;180;10;-0,34917508;-0,35612508;0,00694999;0,62911490;0,63139500;-0,00228006;23,61;23,60;0,01;0,04639820;0,05536133;-0,00896313;0,02912305;-0,03669775;0,06582080
CW;202,5;19;-0,34691320;-0,35402368;0,00711045;0,62199990;0,62295516;-0,00095522;23,73;23,73;0,00;0,05935342;0,04220523;0,01714818;0,02793714;-0,03590294;0,06384008
CW;225;15;-0,34885668;-0,35281330;0,00395665;0,62125652;0,62752324;-0,00626671;23,71;23,70;0,01;0,07105632;0,03041927;0,04063704;0,02214437;-0,03010986;0,05225424
CW;247,5;18;-0,34540272;-0,34711944;0,00171673;0,61065550;0,62005270;-0,00939721;23,90;23,91;-0,01;0,07923408;0,02190077;0,05733331;0,01226006;-0,02036309;0,03262316
CW;270;17;-0,34480000;-0,34755300;0,00275299;0,61096170;0,62210584;-0,01114416;23,89;23,91;-0,02;0,08338866;0,01847182;0,06491684;-0,00008818;-0,00787713;0,00778895
CW;292,5;18;-0,34919160;-0,34947224;0,00028065;0,61512216;0,61924448;-0,00412232;23,90;23,88;0,02;0,08198690;0,01967421;0,06231270;-0,01295396;0,00472385;-0,01767781
CW;315;18;-0,34868610;-0,34618330;-0,00250280;0,61487220;0,62080264;-0,00593042;23,87;23,88;-0,00;0,07644871;0,02588881;0,05055990;-0,02461114;0,01658027;-0,04119141
CW;337,5;11;-0,34826812;-0,34360448;-0,00466365;0,61547720;0,61910904;-0,00363183;23,85;23,83;0,02;0,06661089;0,03499711;0,03161378;-0,03299050;0,02487682;-0,05786732
