smer;azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
CCW;0;21;-0,31785002;-0,31597150;-0,00187853;0,47794764;0,47728570;0,00066194;26,49;26,50;-0,01;0,05018880;0,04253080;0,00765799;0,01022728;-0,01894310;0,02917039
CCW;22,5;20;-0,31353004;-0,31319000;-0,00034001;0,47196740;0,46842240;0,00354499;26,57;26,55;0,02;0,05582605;0,03729175;0,01853430;0,00742822;-0,01644068;0,02386890
CCW;45;12;-0,31971250;-0,31449170;-0,00522080;0,47834992;0,47827080;0,00007913;26,52;26,52;-0,01;0,05970296;0,03349772;0,02620524;0,00303670;-0,01162577;0,01466248
CCW;67,5;13;-0,31220382;-0,31578464;0,00358081;0,48006536;0,47380770;0,00625765;26,48;26,48;-0,00;0,06153415;0,03175086;0,02978329;-0,00274545;-0,00623404;0,00348858
CCW;90;11;-0,31776366;-0,32024094;0,00247729;0,48181360;0,47475452;0,00705907;26,48;26,51;-0,03;0,05995339;0,03168457;0,02826882;-0,00850830;-0,00008323;-0,00842507
CCW;112,5;15;-0,31296330;-0,31758004;0,00461674;0,47558332;0,47213656;0,00344679;26,51;26,51;0,01;0,05823242;0,03417838;0,02405404;-0,01370671;0,00521517;-0,01892187
CCW;135;10;-0,31537000;-0,31795508;0,00258508;0,47201496;0,46704500;0,00496998;26,55;26,58;-0,03;0,05318359;0,03934228;0,01384131;-0,01766479;0,00909009;-0,02675488
CCW;157,5;16;-0,31267496;-0,31935630;0,00668132;0,47271564;0,47220004;0,00051561;26,51;26,50;0,00;0,04809951;0,04472870;0,00337081;-0,01946564;0,01077805;-0,03024368
CCW;180;11;-0,31718640;-0,31903640;0,00185001;0,46846360;0,46871808;-0,00025448;26,47;26,48;-0,01;0,04155606;0,05113636;-0,00958030;-0,01892023;0,01039107;-0,02931130
CCW;202,5;13;-0,30904616;-0,31533846;0,00629231;0,46546156;0,47123844;-0,00577688;26,58;26,56;0,01;0,03744047;0,05649095;-0,01905049;-0,01644888;0,00752554;-0,02397442
CCW;225;11;-0,31927272;-0,32320458;0,00393185;0,46972272;0,47799544;-0,00827271;26,47;26,46;0,01;0,03298873;0,06038618;-0,02739746;-0,01161954;0,00325595;-0,01487549
CCW;247,5;8;-0,31741876;-0,31786250;0,00044376;0,46413744;0,47321876;-0,00908130;26,60;26,59;0,02;0,03131561;0,06213135;-0,03081574;-0,00622284;-0,00239685;-0,00382599
CCW;270;12;-0,31778752;-0,31505004;-0,00273749;0,46823750;0,47278740;-0,00454989;26,52;26,54;-0,02;0,03097677;0,06145161;-0,03047485;-0,00028910;-0,00823568;0,00794657
CCW;292,5;15;-0,31673670;-0,31368332;-0,00305337;0,47339332;0,47970328;-0,00630996;26,53;26,52;0,01;0,03391536;0,05883984;-0,02492448;0,00492611;-0,01371891;0,01864502
CCW;315;13;-0,31783850;-0,30938460;-0,00845388;0,47414610;0,48240764;-0,00826153;26,49;26,49;-0,01;0,03932636;0,05558388;-0,01625751;0,00885892;-0,01760066;0,02645958
CCW;337,5;12;-0,31970004;-0,31311664;-0,00658339;0,47832084;0,48157076;-0,00324991;26,50;26,50;-0,00;0,04458964;0,04939108;-0,00480144;0,01079773;-0,01943258;0,03023031
CW;0;14;-0,31381424;-0,31217858;-0,00163567;0,48266070;0,48017856;0,00248215;26,47;26,48;-0,01;0,05073992;0,04470756;0,00603236;0,01025792;-0,01906163;0,02931954
CW;22,5;14;-0,31855716;-0,31446076;-0,00409642;0,47799284;0,47168212;0,00631070;26,58;26,57;0,01;0,05639491;0,03875401;0,01764090;0,00756522;-0,01627424;0,02383946
CW;45;20;-0,31781004;-0,31325006;-0,00455996;0,47070740;0,46945490;0,00125250;26,59;26,58;0,01;0,05995142;0,03261267;0,02733875;0,00302454;-0,01186890;0,01489343
CW;67,5;26;-0,31470582;-0,31224040;-0,00246543;0,48212692;0,47575768;0,00636926;26,53;26,54;-0,01;0,06204204;0,03154607;0,03049597;-0,00269109;-0,00612558;0,00343450
CW;90;20;-0,31305498;-0,31671004;0,00365508;0,48133492;0,47142996;0,00990495;26,53;26,54;-0,01;0,06159937;0,03256152;0,02903784;-0,00858874;-0,00023376;-0,00835498
CW;112,5;21;-0,31879526;-0,31882380;0,00002855;0,48634520;0,48118568;0,00515953;26,49;26,49;0,00;0,05872535;0,03419794;0,02452740;-0,01394427;0,00509056;-0,01903483
CW;135;17;-0,31722944;-0,31906474;0,00183529;0,48357936;0,48019712;0,00338224;26,52;26,50;0,02;0,05452019;0,03996912;0,01455107;-0,01759033;0,00901856;-0,02660889
CW;157,5;20;-0,31463248;-0,32169506;0,00706258;0,47304750;0,47351996;-0,00047246;26,52;26,53;-0,00;0,04866528;0,04467444;0,00399085;-0,01931714;0,01104590;-0,03036304
CW;180;19;-0,31112102;-0,31850266;0,00738165;0,47605784;0,47686832;-0,00081047;26,55;26,54;0,00;0,04384765;0,05048340;-0,00663575;-0,01907445;0,01036865;-0,02944310
CW;202,5;14;-0,31475002;-0,31956070;0,00481069;0,47665352;0,48185356;-0,00520006;26,49;26,50;-0,00;0,03725290;0,05613560;-0,01888271;-0,01626151;0,00777954;-0,02404105
CW;225;13;-0,31640002;-0,31933080;0,00293079;0,47093460;0,47734992;-0,00641534;26,50;26,51;-0,01;0,03281119;0,06027832;-0,02746713;-0,01173340;0,00334623;-0,01507963
