smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;tA;axA;ayA;xC;yC;tC;axC;ayC
CCW;1;292.5;-67.50;-67.50;50;-0.41230010;0.63865008;23.95;0.036521;0.000815;-0.42740000;0.65035004;23.98;0.043284;0.010208
CW;2;45;45.00;112.50;50;-0.43530004;0.65439990;23.93;0.038430;0.009741;-0.43174984;0.65294980;23.95;0.045198;0.000112
CW;3;202.5;202.50;157.50;50;-0.44039984;0.64779984;23.82;0.046421;0.002471;-0.43034992;0.65269970;23.86;0.036211;0.007852
CW;4;0;360.00;157.50;50;-0.43934996;0.66660000;23.80;0.038359;0.006008;-0.43325004;0.65825004;23.80;0.047188;0.004807
CCW;5;315;315.00;-45.00;50;-0.43350000;0.65124992;23.80;0.037690;0.002849;-0.42795000;0.66164992;23.79;0.046697;0.009216
CCW;6;225;225.00;-90.00;50;-0.43625010;0.65004990;23.80;0.044812;0.000813;-0.44140010;0.66075004;23.80;0.038892;0.010776
CCW;7;135;135.00;-90.00;50;-0.43434992;0.66204992;23.80;0.046526;0.009241;-0.44319996;0.65804980;23.79;0.038271;0.002563
CW;8;225;225.00;90.00;50;-0.42425016;0.66810000;23.73;0.044490;0.000740;-0.43550008;0.66610000;23.75;0.039573;0.009968
CW;9;337.5;337.50;112.50;50;-0.43069990;0.67225000;23.76;0.035095;0.003711;-0.42549992;0.66415008;23.72;0.047192;0.007249
CCW;10;180;180.00;-157.50;50;-0.42250000;0.66770020;23.77;0.047373;0.004641;-0.43955000;0.66900016;23.64;0.035049;0.006238
CCW;11;90;90.00;-90.00;50;-0.43040004;0.66445016;23.70;0.042332;0.011467;-0.43644996;0.65659990;23.68;0.040798;-0.000249
CW;12;90;90.00;0.00;50;-0.42579992;0.65294990;23.72;0.042222;0.011902;-0.42249996;0.65969984;23.72;0.042971;-0.001780
CW;13;202.5;202.50;112.50;50;-0.42989990;0.66390010;23.78;0.046089;0.002793;-0.43430000;0.65624992;23.79;0.036921;0.008564
CW;14;202.5;202.50;0.00;50;-0.43490000;0.66064990;23.78;0.046394;0.002214;-0.43020000;0.66284996;23.75;0.036550;0.008716
CCW;15;112.5;112.50;-90.00;50;-0.43084990;0.66435000;23.78;0.043853;0.011401;-0.43090004;0.66134990;23.80;0.039446;0.000620
CCW;16;22.5;22.50;-90.00;50;-0.44175008;0.65104984;23.80;0.036108;0.009216;-0.43424990;0.66855016;23.80;0.046289;0.002666
CCW;17;292.5;-67.50;-90.00;50;-0.44389996;0.65319984;23.80;0.037703;0.000620;-0.42425008;0.65955000;23.78;0.043428;0.010774
CCW;18;202.5;-157.50;-90.00;50;-0.44260010;0.67015004;23.77;0.046113;0.002703;-0.42525004;0.65615004;23.79;0.036738;0.008801
CW;19;0;0.00;157.50;50;-0.43914984;0.66185004;23.80;0.034731;0.007256;-0.43649984;0.65759990;23.80;0.046416;0.004934
CW;20;45;45.00;45.00;50;-0.42095008;0.66300010;23.80;0.036865;0.010889;-0.42474992;0.65640010;23.80;0.045662;0.000637
CCW;21;337.5;-22.50;-67.50;50;-0.42519990;0.64300000;23.80;0.034441;0.004902;-0.43215000;0.64904980;23.80;0.046848;0.006733
CCW;22;157.5;-202.50;-180.00;50;-0.43575010;0.65529990;23.80;0.047019;0.006768;-0.43859996;0.65464990;23.80;0.035667;0.004385
CW;23;247.5;-112.50;90.00;50;-0.42140000;0.65210016;23.80;0.041096;0.000159;-0.42875000;0.64394984;23.80;0.039922;0.011719
CCW;24;90;-270.00;-157.50;50;-0.43925000;0.66319990;23.80;0.041553;0.011960;-0.42930012;0.65629992;23.80;0.040444;-0.000098
CCW;25;22.5;-337.50;-67.50;50;-0.43635000;0.64725000;23.80;0.035569;0.009231;-0.42535010;0.66269992;23.80;0.046060;0.002837
CCW;26;270;-90.00;-90.00;50;-0.42449980;0.64009992;23.80;0.040947;-0.000415;-0.43029992;0.66835020;23.80;0.042292;0.011545
CCW;27;135;-225.00;-135.00;50;-0.43990004;0.65014992;23.80;0.046531;0.009150;-0.43490004;0.64784976;23.84;0.036670;0.002361
CCW;28;337.5;-382.50;-157.50;50;-0.43195000;0.64884980;23.80;0.034229;0.004900;-0.41765000;0.66049980;23.80;0.046221;0.007678
CCW;29;247.5;-112.50;-112.50;50;-0.42935000;0.64919984;23.80;0.042126;0.000327;-0.43425004;0.65279984;23.80;0.040249;0.011394
CW;30;292.5;-67.50;45.00;50;-0.44670012;0.63504992;23.80;0.038364;-0.000063;-0.43275004;0.65844992;23.80;0.046050;0.009897
CW;31;22.5;22.50;90.00;50;-0.43020000;0.66180000;23.80;0.037158;0.008809;-0.42114990;0.64649980;23.80;0.046228;0.002617
CCW;32;0;0.00;-22.50;50;-0.42950000;0.65669990;23.84;0.036125;0.005708;-0.43025000;0.66019976;23.80;0.046882;0.004763
CW;33;0;0.00;0.00;50;-0.42529988;0.66900000;23.79;0.035269;0.006558;-0.42665004;0.65664992;23.80;0.047153;0.004199
CW;34;112.5;112.50;112.50;50;-0.42285004;0.66085004;23.80;0.044404;0.010750;-0.43920004;0.64865000;23.80;0.037969;0.000381
CW;35;180;180.00;67.50;50;-0.43049984;0.65539990;23.83;0.046953;0.003855;-0.42159990;0.64909990;23.80;0.035557;0.005920
CCW;36;112.5;112.50;-67.50;50;-0.43439990;0.65314984;23.80;0.043740;0.010198;-0.42775004;0.65154992;23.82;0.038679;-0.000193
CW;37;157.5;157.50;45.00;50;-0.43119992;0.65275000;23.81;0.047341;0.007175;-0.43294988;0.65129984;23.82;0.035469;0.003887
CCW;38;45;45.00;-112.50;50;-0.44139996;0.65274984;23.80;0.037341;0.010234;-0.43499988;0.65434976;23.80;0.045103;0.000574
CW;39;157.5;157.50;112.50;50;-0.42304990;0.65959984;23.80;0.046724;0.006331;-0.44194988;0.65519976;23.81;0.036379;0.003604
CW;40;180;180.00;22.50;50;-0.43845000;0.64935000;23.80;0.047007;0.003542;-0.43054992;0.64395000;23.80;0.037612;0.006401
CCW;41;135;135.00;-45.00;50;-0.43144990;0.66539990;23.77;0.047087;0.008789;-0.43779996;0.65519980;23.79;0.037603;0.001912
CCW;42;112.5;112.50;-22.50;50;-0.44160008;0.65075000;23.72;0.044331;0.010503;-0.43349990;0.65145000;23.70;0.037800;0.000056
CCW;43;22.5;22.50;-90.00;50;-0.43304976;0.65499984;23.72;0.036030;0.008799;-0.42769996;0.65710016;23.74;0.046831;0.002322
CCW;44;225;-135.00;-157.50;50;-0.41539992;0.65810008;23.78;0.045554;0.000405;-0.43270000;0.64434976;23.76;0.037170;0.010127
CW;45;0;0.00;135.00;50;-0.42884990;0.66355000;23.79;0.035122;0.006316;-0.42239992;0.65139984;23.74;0.046929;0.004768
CW;46;112.5;112.50;112.50;50;-0.43135000;0.65374992;23.74;0.044712;0.010398;-0.43314990;0.66189990;23.78;0.038145;0.000842
CCW;47;45;45.00;-67.50;50;-0.42699990;0.65244996;23.75;0.039048;0.010081;-0.42895000;0.65665000;23.75;0.045352;0.000452
CCW;48;292.5;-67.50;-112.50;50;-0.42810000;0.65524984;23.75;0.037610;0.000674;-0.42630000;0.67105016;23.78;0.044219;0.010374
CW;49;315;-45.00;22.50;50;-0.43160000;0.66005004;23.72;0.035703;0.002407;-0.42965000;0.66790000;23.71;0.047214;0.008936
CCW;50;270;-90.00;-45.00;50;-0.42245004;0.66324996;23.68;0.040874;-0.000593;-0.44010000;0.65854996;23.68;0.042295;0.011628
CCW;51;112.5;-247.50;-157.50;50;-0.42934990;0.66079990;23.64;0.042986;0.010317;-0.43805012;0.65999984;23.65;0.038481;0.000798
CCW;52;22.5;-337.50;-90.00;50;-0.43670004;0.66764990;23.66;0.035029;0.009490;-0.43575000;0.66530016;23.65;0.046216;0.002600
CCW;53;0;-360.00;-22.50;50;-0.43684990;0.65874992;23.62;0.035247;0.006755;-0.43570008;0.66910004;23.65;0.046914;0.005332
CW;54;0;-360.00;0.00;50;-0.43779988;0.65485000;23.62;0.034976;0.006807;-0.42160010;0.66174996;23.61;0.047676;0.005234
CW;55;112.5;-247.50;112.50;50;-0.42280008;0.66765000;23.53;0.043633;0.011565;-0.42955000;0.67045016;23.59;0.038623;0.000635
CW;56;270;-90.00;157.50;50;-0.42429990;0.66439980;23.54;0.041528;-0.000439;-0.42419990;0.67515010;23.50;0.043425;0.011926
CCW;57;225;-135.00;-45.00;50;-0.44140000;0.66520008;23.51;0.044856;0.000896;-0.43075008;0.66450000;23.50;0.039912;0.010466
CCW;58;90;-270.00;-135.00;50;-0.44180000;0.66435030;23.50;0.042749;0.011558;-0.43479996;0.66595000;23.52;0.040618;-0.000083
