azimut;n;nCW;nCCW;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
0;20;10;10;-0,43194000;-0,43022500;-0,00171503;0,71304240;0,71089496;0,00214750;22,22;22,21;0,00;0,02757458;0,02235315;0,00522143;0,00694287;0,00116968;0,00577319
5;20;15;5;-0,43030752;-0,42603000;-0,00427756;0,71526000;0,71203748;0,00322253;22,22;22,23;-0,01;0,02866321;0,02340222;0,00526098;0,00693286;0,00137366;0,00555920
10;20;9;11;-0,43091744;-0,42767752;-0,00323990;0,71420752;0,71019240;0,00401509;22,23;22,22;0,01;0,02813404;0,02195154;0,00618250;0,00625024;0,00170532;0,00454492
15;20;11;9;-0,43099756;-0,42545752;-0,00554001;0,71661248;0,71166000;0,00495249;22,21;22,20;0,01;0,02803564;0,02182251;0,00621314;0,00608704;0,00188440;0,00420264
20;20;11;9;-0,42966000;-0,42728744;-0,00237259;0,71457992;0,71034990;0,00423002;22,25;22,24;0,00;0,02848425;0,02139099;0,00709326;0,00569913;0,00214197;0,00355716
25;20;12;8;-0,42927248;-0,42926496;-0,00000751;0,71617750;0,71358250;0,00259501;22,19;22,20;-0,01;0,02960717;0,02216272;0,00744445;0,00571899;0,00268274;0,00303626
30;20;6;14;-0,42808756;-0,42410250;-0,00398508;0,71717990;0,71148240;0,00569749;22,23;22,24;-0,01;0,02859119;0,02135254;0,00723865;0,00511987;0,00295679;0,00216309
35;20;9;11;-0,42808492;-0,43019248;0,00210753;0,71910490;0,71202744;0,00707746;22,19;22,18;0,01;0,02853723;0,02110058;0,00743664;0,00480286;0,00330090;0,00150195
40;20;6;14;-0,43028500;-0,42972248;-0,00056252;0,71742500;0,71080500;0,00661999;22,22;22,22;-0,00;0,02862561;0,02121423;0,00741138;0,00446753;0,00362439;0,00084314
45;20;11;9;-0,42941500;-0,42844492;-0,00097007;0,71669496;0,71225760;0,00443739;22,19;22,19;-0,01;0,02878552;0,02103003;0,00775549;0,00403223;0,00415210;-0,00011987
50;20;8;12;-0,42816250;-0,42477750;-0,00338498;0,71243000;0,70851490;0,00391507;22,26;22,27;-0,02;0,02962317;0,02197986;0,00764331;0,00393115;0,00452039;-0,00058923
55;20;9;11;-0,42881500;-0,42879748;-0,00001749;0,71745240;0,71239256;0,00505984;22,21;22,21;0,00;0,02865125;0,02116931;0,00748194;0,00337097;0,00466846;-0,00129749
60;20;9;11;-0,42891492;-0,42766500;-0,00124994;0,71956984;0,71339992;0,00616992;22,17;22,18;-0,00;0,02866919;0,02128235;0,00738684;0,00304749;0,00512647;-0,00207898
65;20;13;7;-0,42723256;-0,42522250;-0,00201008;0,71770490;0,71143496;0,00626993;22,20;22,22;-0,02;0,02851147;0,02120850;0,00730298;0,00271936;0,00538330;-0,00266394
70;20;9;11;-0,42789500;-0,42919000;0,00129500;0,71766750;0,71280500;0,00486255;22,19;22,20;-0,01;0,02941089;0,02251965;0,00689124;0,00252515;0,00603467;-0,00350952
75;20;9;11;-0,43048492;-0,42921996;-0,00126496;0,71852500;0,71277000;0,00575501;22,16;22,16;0,00;0,02832593;0,02175733;0,00656860;0,00200464;0,00607239;-0,00406775
80;20;8;12;-0,42795244;-0,42704496;-0,00090748;0,71657990;0,71253000;0,00404996;22,17;22,17;0,00;0,02827381;0,02162866;0,00664515;0,00180383;0,00643115;-0,00462732
85;20;9;11;-0,42724748;-0,42797748;0,00073001;0,71582740;0,71375748;0,00206995;22,22;22,21;0,01;0,02899023;0,02296350;0,00602673;0,00155139;0,00694116;-0,00538977
90;20;8;12;-0,42951492;-0,42990504;0,00039008;0,71252500;0,70809000;0,00443500;22,23;22,25;-0,01;0,02898755;0,02344266;0,00554489;0,00125916;0,00712219;-0,00586304
95;20;11;9;-0,42779250;-0,42777004;-0,00002244;0,71585508;0,71068492;0,00517011;22,20;22,20;0,00;0,02747498;0,02263061;0,00484436;0,00102161;0,00705273;-0,00603113
100;20;12;8;-0,42885000;-0,42653504;-0,00231496;0,71583752;0,71282992;0,00300759;22,22;22,22;0,00;0,02698425;0,02329150;0,00369275;0,00087329;0,00730139;-0,00642810
105;20;10;10;-0,42505248;-0,43157750;0,00652504;0,71675750;0,71358744;0,00317001;22,21;22,21;0,00;0,02704663;0,02325586;0,00379077;0,00063867;0,00763135;-0,00699268
110;20;12;8;-0,42640996;-0,43029990;0,00388995;0,71905992;0,71398000;0,00507998;22,20;22,21;-0,01;0,02745935;0,02445434;0,00300501;0,00058350;0,00792957;-0,00734607
115;20;11;9;-0,42745504;-0,43275752;0,00530249;0,71467496;0,71479992;-0,00012499;22,21;22,20;0,01;0,02617248;0,02360230;0,00257019;0,00035645;0,00787463;-0,00751819
120;20;7;13;-0,42762750;-0,42878000;0,00115249;0,71470750;0,71073248;0,00397503;22,26;22,27;-0,01;0,02683435;0,02506799;0,00176636;0,00017822;0,00831262;-0,00813440
125;20;9;11;-0,42600250;-0,43202496;0,00602245;0,71354260;0,71327248;0,00027013;22,22;22,23;-0,01;0,02567236;0,02454065;0,00113171;0,00015344;0,00812707;-0,00797363
130;20;7;13;-0,42660000;-0,43261500;0,00601500;0,71693750;0,71114740;0,00579005;22,23;22,22;0,01;0,02513831;0,02493994;0,00019837;0,00015259;0,00805273;-0,00790015
135;20;8;12;-0,42675248;-0,43150496;0,00475249;0,71447750;0,71527000;-0,00079256;22,20;22,20;-0,01;0,02496228;0,02536597;-0,00040369;0,00015833;0,00812048;-0,00796216
140;20;13;7;-0,42628496;-0,43026250;0,00397754;0,71712240;0,71517490;0,00194752;22,24;22,22;0,01;0,02461707;0,02573306;-0,00111600;0,00020493;0,00810684;-0,00790192
145;20;9;11;-0,42597000;-0,43107496;0,00510496;0,71401500;0,71426500;-0,00024998;22,23;22,24;-0,01;0,02402038;0,02567529;-0,00165491;0,00029712;0,00799939;-0,00770227
150;20;12;8;-0,42661252;-0,43142000;0,00480747;0,71532240;0,71434250;0,00097990;22,23;22,23;-0,00;0,02460852;0,02745691;-0,00284839;0,00037033;0,00822742;-0,00785709
155;20;14;6;-0,42409748;-0,42856748;0,00446999;0,71521740;0,71498000;0,00023741;22,22;22,21;0,00;0,02360303;0,02672217;-0,00311914;0,00038403;0,00770789;-0,00732385
160;20;13;7;-0,42420750;-0,43188248;0,00767496;0,71311250;0,71569490;-0,00258243;22,23;22,22;0,01;0,02403027;0,02774597;-0,00371570;0,00058887;0,00797241;-0,00738354
165;20;9;11;-0,42692750;-0,43040008;0,00347257;0,71547248;0,71458732;0,00088513;22,19;22,21;-0,01;0,02294568;0,02688928;-0,00394360;0,00068286;0,00761108;-0,00692822
170;20;15;5;-0,42633500;-0,43002748;0,00369248;0,70974750;0,71043000;-0,00068253;22,28;22,28;-0,01;0,02265234;0,02728333;-0,00463098;0,00086707;0,00728479;-0,00641772
175;20;12;8;-0,42490992;-0,42893004;0,00402012;0,71077260;0,71389240;-0,00311983;22,25;22,26;-0,01;0,02322571;0,02853052;-0,00530481;0,00115491;0,00742456;-0,00626965
180;20;9;11;-0,42583500;-0,43121250;0,00537753;0,71002500;0,71432240;-0,00429744;22,22;22,21;0,01;0,02207495;0,02782557;-0,00575061;0,00139453;0,00693628;-0,00554175
185;20;10;10;-0,42606250;-0,42953752;0,00347504;0,71234240;0,71357250;-0,00123006;22,25;22,26;-0,01;0,02174133;0,02783264;-0,00609131;0,00155493;0,00665942;-0,00510449
190;20;10;10;-0,42751000;-0,42739504;-0,00011498;0,71140252;0,72021748;-0,00881493;22,23;22,22;0,01;0,02148254;0,02829602;-0,00681348;0,00192688;0,00636682;-0,00443994
195;20;8;12;-0,42553996;-0,42687250;0,00133252;0,70980240;0,71644000;-0,00663751;22,19;22,19;0,00;0,02123511;0,02832996;-0,00709485;0,00216663;0,00602490;-0,00385828
200;20;10;10;-0,42595752;-0,42725244;0,00129491;0,70881736;0,71795496;-0,00913757;22,24;22,25;-0,00;0,02096435;0,02838770;-0,00742334;0,00252270;0,00572522;-0,00320251
205;20;10;10;-0,42531504;-0,42635750;0,00104246;0,71200000;0,71561500;-0,00361496;22,20;22,20;0,00;0,02128650;0,02843726;-0,00715076;0,00282800;0,00545886;-0,00263086
210;20;9;11;-0,42617256;-0,42830496;0,00213242;0,70859990;0,71847992;-0,00988001;22,23;22,23;-0,00;0,02101587;0,02857202;-0,00755615;0,00313367;0,00515417;-0,00202051
215;20;7;13;-0,42795500;-0,42681750;-0,00113750;0,71230492;0,71573490;-0,00342995;22,17;22,17;-0,00;0,02117273;0,02866162;-0,00748889;0,00346826;0,00477454;-0,00130627
220;20;8;12;-0,42720500;-0,42747750;0,00027251;0,71308000;0,71923760;-0,00615752;22,20;22,19;0,01;0,02154822;0,02877148;-0,00722327;0,00391003;0,00439819;-0,00048816
225;20;8;12;-0,42498492;-0,43080996;0,00582504;0,71249500;0,71607740;-0,00358236;22,23;22,24;-0,01;0,02182104;0,03001184;-0,00819079;0,00428015;0,00423511;0,00004504
230;20;9;11;-0,42822004;-0,42687496;-0,00134507;0,70927750;0,71541240;-0,00613487;22,23;22,24;-0,01;0,02078955;0,02863428;-0,00784473;0,00455420;0,00365649;0,00089770
235;20;13;7;-0,42646504;-0,42538996;-0,00107509;0,70658250;0,71279750;-0,00621504;22,24;22,25;-0,01;0,02163221;0,02966614;-0,00803393;0,00497839;0,00347375;0,00150464
240;20;7;13;-0,42654500;-0,42825508;0,00171009;0,70934240;0,71636750;-0,00702506;22,25;22,26;-0,01;0,02198624;0,03007202;-0,00808578;0,00537256;0,00312598;0,00224658
245;20;10;10;-0,42885250;-0,42778000;-0,00107250;0,71108000;0,71781240;-0,00673240;22,23;22,22;0,00;0,02162476;0,03025122;-0,00862646;0,00572913;0,00279883;0,00293030
250;20;12;8;-0,42630750;-0,42949252;0,00318503;0,71018250;0,71479500;-0,00461251;22,24;22,25;-0,01;0,02122293;0,02882336;-0,00760043;0,00583093;0,00235657;0,00347437
255;20;10;10;-0,42883252;-0,42802248;-0,00081006;0,71196000;0,72023748;-0,00827748;22,22;22,22;-0,01;0,02261255;0,02978723;-0,00717468;0,00631665;0,00219641;0,00412024
260;20;11;9;-0,42933996;-0,42507252;-0,00426742;0,71085256;0,71879500;-0,00794244;22,20;22,20;-0,00;0,02239758;0,02958338;-0,00718579;0,00667273;0,00193372;0,00473901
265;20;7;13;-0,42752500;-0,42743744;-0,00008753;0,71195250;0,71977990;-0,00782740;22,18;22,19;-0,01;0,02207068;0,02817224;-0,00610156;0,00671204;0,00157104;0,00514099
270;20;10;10;-0,42767000;-0,42925000;0,00158000;0,71098240;0,71953000;-0,00854760;22,24;22,22;0,02;0,02225918;0,02787549;-0,00561630;0,00697754;0,00129419;0,00568335
275;20;9;11;-0,42994004;-0,42886000;-0,00108004;0,70813500;0,71451510;-0,00638008;22,21;22,22;-0,00;0,02299548;0,02890149;-0,00590601;0,00754871;0,00111877;0,00642993
280;20;8;12;-0,42904250;-0,42708748;-0,00195503;0,71170000;0,71867740;-0,00697744;22,19;22,19;0,00;0,02271484;0,02777979;-0,00506494;0,00731543;0,00076978;0,00654565
